nombre,sigla,cobertura
"OBRA SOCIAL DE PANADEROS, PASTELEROS Y FACTUREROS DE ENTRE RIOS","OSSPYFER",0.30
"OBRA SOCIAL DE RECIBIDORES DE GRANOS Y ANEXOS","OSRGA",0.30
"OBRA SOCIAL DEL PERSONAL DE REFINERIAS DE MAIZ","",0.30
"OBRA SOCIAL DEL PERSONAL DE SUPERVISION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES","OSPSESBA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VIAL","OSPA-VIAL",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA  DEL TABACO","OSPIT",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO","OSPIV",0.30
"OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA","OSVARA",0.30
"OBRA SOCIAL DEL PERSONAL DE VIGILANCIA Y SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS DE CORDOBA","OSPEVIC",0.30
"OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y LA ENERGIA ELECTRICA","OSPUAYE",0.30
"OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA","OSBARA",0.30
"OBRA SOCIAL DE COMISARIOS NAVALES","",0.30
"OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS DE LA REPUBLICA ARGENTINA","OSUTI",0.30
"OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDICATOS DE LA INDUSTRIA QUIMICA Y PETROQUIMICA","",0.30
"OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES","OSMEDICA",0.30
"OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE RESIDUOS Y BARRIDO DE CORDOBA","O.S.S.U.R.R.B.A.C",0.30
"OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA","OSPRERA",0.30
"OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA","OSUOMRA",0.30
"OBRA SOCIAL DEL PERSONAL DE IMPRENTAS, DIARIOS Y AFINES","OSPIDA",0.30
"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA","OSTPCHPYARA",0.30
"OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITEROS, LUSTRADORES Y PORCELANEROS","OSCAMGLYP",0.30
"OBRA SOCIAL DE LOS  SUPERVISORES DE LA INDUSTRIA METALMECANICA DE LA REPUBLICA ARGENTINA","OSSIMRA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA PETROQUIMICA","OSPIP",0.30
"OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA. (ANDAR)","OSVVRA",0.30
"OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS","OSPPCYQ",0.30
"OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA REPUBLICA ARGENTINA","OSPERYHRA",0.30
"OBRA SOCIAL DE ENCARGADOS APUNTADORES MARITIMOS","OSEAM",0.30
"OBRA SOCIAL DEL PERSONAL DE BARRACAS DE LANAS, CUEROS Y ANEXOS","",0.30
"OBRA SOCIAL DEL PERSONAL DEL ESPECTACULO PUBLICO","OSPEP",0.30
"OBRA SOCIAL CONDUCTORES DE TAXIS DE CORDOBA","OSTC",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF","OSPAT",0.30
"OBRA SOCIAL DE LOS TRABAJADORES ARGENTINOS DE CENTROS DE CONTACTOS","O.S.T.A.C.C,",0.30
"OBRA SOCIAL DE LA ASOCIACION DEL PERSONAL SUPERIOR DE LA EMPRESA PROVINCIAL DE ENERGIA DE CORDOBA","O.S.A.P.S.E",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ENSEÑANZA PRIVADA","OSPEP",0.30
"OBRA SOCIAL DEL PERSONAL DE PANADERIAS","OSPEP",0.30
"OBRA SOCIAL DEL PERSONAL DE PRENSA DE BAHIA BLANCA","",0.30
"OBRA SOCIAL  EMPLEADOS DE AGENCIAS DE INFORMES","OSEADI",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA AZUCARERA","OSPIA",0.30
"OBRA SOCIAL DEL PERSONAL MENSUALIZADO DEL JOCKEY CLUB DE BUENOS AIRES Y LOS HIPODROMOS DE PALERMO Y SAN ISIDRO","",0.30
"OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LA ESPERANZA","OSPA",0.30
"OBRA SOCIAL DE TRABAJADORES DE PRENSA DE BUENOS AIRES","OSTPBA",0.30
"OBRA SOCIAL DE LA FEDERACION ARGENTINA DE TRABAJADORES DE LUZ Y FUERZA","OSFATLYF",0.30
"OBRA SOCIAL DE LA CONFEDERACION DE OBREROS Y EMPLEADOS MUNICIPALES  ARGENTINA ( OSCOEMA )","OSCOEMA",0.30
"OBRA SOCIAL DEL PERSONAL DE LUZ Y FUERZA DE CORDOBA","OSLYF",0.30
"OBRA SOCIAL DE LOCUTORES","OSDEL",0.30
"OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SINDICATO BUENOS AIRES","OSPETELCO",0.30
"OBRA SOCIAL DEL PERSONAL LADRILLERO","OSPL",0.30
"OBRA SOCIAL FEDERAL DE LA FEDERACION NACIONAL DE TRABAJADORES DE OBRAS SANITARIAS","OSFFENTOS",0.30
"OBRA SOCIAL DEL PERSONAL DE FARMACIA","OSPF",0.30
"OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJADOR  DE LAS UNIVERSIDADES NACIONALES","OSFATUN",0.30
"OBRA SOCIAL ASOCIACION PROFESIONAL DE CAPITANES Y BAQUEANOS FLUVIALES Y PERSONAL CON  CONOCIMIENTO DE ZONA DE LA MARINA MERCANTE","OSCAPBAQFLU",0.30
"OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y CIVILES","OSPEDYC",0.30
"OBRA SOCIAL SERVICIOS SOCIALES BANCARIOS","OSBA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LECHERA","OSPIL",0.30
"OBRA SOCIAL DE MANDOS MEDIOS DE TELECOMUNICACIONES EN LA REPUBLICA ARGENTINA Y MERCOSUR","OSMMEDT",0.30
"OBRA SOCIAL DEL PERSONAL DE AGUAS GASEOSAS Y AFINES","OSPAGA",0.30
"OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE","OSEMM",0.30
"OBRA SOCIAL DEL PERSONAL DE PRENSA DE MAR DEL PLATA","OSPREN",0.30
"OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEITERA, DESMOTADORA Y AFINES","OSIAD",0.30
"OBRA SOCIAL DEL PERSONAL DEL CAUCHO","OSPECA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA","OSPSA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VITIVINICOLA","OSPAV",0.30
"OBRA SOCIAL TALLERISTAS A DOMICILIO","OSTAD",0.30
"OBRA SOCIAL DEL PERSONAL SUPERIOR Y PROFESIONAL DE EMPRESAS AEROCOMERCIALES","OSPEA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD PERFUMISTA","OSPAP",0.30
"OBRA SOCIAL DEL PETROLEO Y GAS PRIVADOS","OSPEGAP",0.30
"OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA","OSEPC",0.30
